,MAINTITLE,S_PARENT_OBJ_ID,S_TC_IN,S_TC_OUT,S_DURATION,EX_OLD_SEG_NUM,EX_OLD_OBJID,S_COMMENTS,S_SESSION,S_DAYS,S_LINEUMPIRE,S_LEGUMPIRE,S_STRIKER,S_NONSTRIKER,S_RUNNER,S_NONRUNNER,S_BOWLER,S_WINNINGBOWL,S_SUPEROVER,S_OVER,S_TEAMSCORE,S_SCORE,S_OFFTHEBAT,S_OVERTHROW,S_SHORTRUN,S_FREEHIT,S_EXTRABALLTYPE,S_NOBALLTYPE,S_BOUNDARYSCORED,S_TYPEOFSHOT,S_BALLTYPE,S_BOUNDARYCOMMENTATORSPICK,S_BOUNDARYCOMMENTATORSNAME,S_CREASEPOSITION,S_3RDUMPIREDECISION,S_WICKETTYPE,S_WICKETTYPE_QUAL,S_FIELDER,S_LOCATION,S_3RDUMPIREREFERRALBY,S_WICKETCOMMENTATORSPICK,S_WICKETCOMMENTATORSNAME,S_BOWLINGANGLE,S_RUNUP,S_APPEAL,S_CATCHAPPEAL,S_RUNOUTAPPEAL,S_LBWAPPEAL,S_STUMPINGAPPEAL,S_HANDLINGTHEBALLAPPEAL,S_OBSTRUCTINGFIELDERAPPEAL,S_UMPIREAPPEAL,S_WARNINGGIVEN,S_FIELDERNAME,S_FIELDERPOSITION,EX_FIELDINGTYPE,EX_FIELDINGTYPE1,S_RELAY,S_DIVE,S_JUMP,S_CHASETYPE,S_POORFIELDING,S_BACKUP,S_BACKUPTYPE,S_COMMENTATORSPICK,S_COMMENTATORSNAME,S_MISSEDCHANCE,S_MISSEDCHANCETYPE,S_MILESTONE,S_MILESTONETYPE,S_BATTINGMILESTONE,S_BATTINGMILESTONEDESC,S_BOWLINGMILESTONE,S_BOWLINGMILESTONEDESC,S_WICKETKEEPINGMILESTONE,S_WICKETKEEPINGMILESTONEDESC,S_FIELDINGMILESTONE,S_FIELDINGMILESTONEDESC,S_ALLROUNDMILESTONE,S_ALLROUNDMILESTONEDESC,S_PARTNERSHIPMILESTONE,S_PARTNERSHIPMILESTONEDESC,S_INDIVIDUALMILESTONEPLAYER,S_INDIVIDUALMILESTONEDESC,S_UMPIRINGMILESTONE,S_UMPIRINGMILESTONEDESC,S_UMPIRINGCOMMENTATORSPICK,S_UMPIRINGCOMMENTATORSNAME,S_CAPTAINCYCOMMENTATORSPICK,S_CAPTAINCYCOMMENTATORSNAME,S_BOWLERSRUNUPCOMMENTATORSPICK,S_BOWLERSRUNUPCOMMENTATORSNAME,S_RUNNINGBWWICKETSCOMMENTATORSPICK,S_RUNNINGBWWICKETSCOMMENTATORSNAME,S_WICKETKEEPINGCOMMENTATORSPICK,S_WICKETKEEPINGCOMMENTATORSNAME,S_BATTINGTYPECOMMENTATORSPICK,S_BATTINGTYPECOMMENTATORSNAME,S_BOWLINGTYPECOMMENTATORSPICK,S_BOWLINGTYPECOMMENTATORSNAME,S_FIELDINGCOMMENTATORSPICK,S_FIELDINGCOMMENTATORSNAME,S_BATSMANWALKINGOFFBEFOREUMPIREDECISION,S_FIELDINGCAPTAINRECALLINGBATSMAN,S_FIELDERAPPLAUDINGBATSMEN,S_FIELDERDECLARINGBOUNDARYONHISOWN,S_ACCEPTINGADROPCATCH,S_UNNECESSARYAPPEALS,S_BATSMANNOTACCEPTINGUMPIREDECISION,S_BODYLINEBOWLING,S_NEGATIVEBOWLING,S_BALLTAMPERING,S_PITCHTAMPERING,S_BOWLINGSPEED,S_GRAPHICS,S_PLAYINGCONDITION,S_GENERALANALYSIS,S_INTERACTION,S_EMOTION,S_EMOTIONPLAYERNAME,S_EMOTIONALASPECTS,S_GESTURE,S_PLAYERSHOWINGGESTURE,S_CAMERAVIEW,S_NORMALCROWD,S_CHEERLEADERS,S_CATCHBYCROWD,S_BANNER,S_MEXICANWAVES,S_COMMENTATORSBOX,S_PAVILLIONDUGOUTDRESSINGROOM,S_SCOREBOARD,S_ELECTRONICDISPLAY,S_FLAGVIEW,S_GROUND,S_OUTSIDESTADIUM,S_PITCH,S_STUMPVIEW,S_TROPHY,S_TEAMWALKINGINTOTHEFIELD,S_PLAYERWALKINGINTOTHEFIELD,S_UMPIRESWALKINGINTOTHEFIELD,S_FIELDERSCLOSINGIN,S_CAMERASHOTTYPE,S_CELEBRITYFOCUS,S_STYLESTATEMENT,S_EXTRAS,S_BRANDFOCUS,S_USUSALCRICKETGEAR,S_PLAYERINTERVIEW,S_MEMORABILIA,S_PLAYERCELEBRATION,S_INTERRUPTION,S_DUETOINCORRECTUMPIRING,S_LIGHTSFAIL,S_BADWEATHER,S_CROWDUNREST,S_SIGHTSCREENADJUSTMENT,S_STREAKERONFIELD,S_BEES,S_DOG,S_BIRD_BIRDS,S_BALLCHANGE,S_DRINKSBREAK,S_ADHOCDRINKSBREAK,S_INNINGSBREAK,S_ROLLINGTHEPITCH,S_BALLLOST,S_CHANGEOFGEAR,S_INJURY,S_CROWDINVASION,S_UNUSUAL,S_REPLAY,S_REPLAYOVER,S_TOTALTEAMWICKET,S_PITCHREPORT,S_TOSS,S_TEAMAREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_INTERVIEW,S_PRACTICESESSIONS,S_PRESENTATION,S_PRIZEDISTRIBUTION,S_VICTORYLAP,S_ADDITIONALEVENTS,S_EVENTS,S_EVENTTYPE
0,SEGMENT_64,1221976,1881000,1898000,,64,1327628,,,DAY 3,Simon Taufel,Billy Doctrove,Salman Butt,Mohammad Yousuf,,,Anil Kumble,,,40.4,131,131,0,,,,,,Four,Straight Drive,Leg_Spin,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ON_THE_CREASE,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,0,,,,CONSULTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,,,,
1,SEGMENT_65,1221976,1899000,1911000,,65,1327628,,,DAY 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,CROWD,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SEGMENT_66,1221976,1912000,1932000,,66,1327628,,,DAY 3,Simon Taufel,Billy Doctrove,Salman Butt,Mohammad Yousuf,,,Anil Kumble,,,40.5,131,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SEGMENT_67,1221976,1933000,1952000,,67,1327628,,,DAY 3,Simon Taufel,Billy Doctrove,Salman Butt,Mohammad Yousuf,,,Anil Kumble,,,41.0,131,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SEGMENT_68,1221976,1953000,1985000,,68,1327628,,,DAY 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,TEAMSTATISTICS,,SCORECARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SEGMENT_69,1221976,1985000,2024000,,69,1327628,FIELD SETUP,,DAY 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,PLAYERSTATISTICS,,SOURAV GANGULY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SEGMENT_70,1221976,2026000,2068000,,70,1327628,,,DAY 3,Billy Doctrove,Simon Taufel,Mohammad Yousuf,Salman Butt,,,Sourav Ganguly,,,41.1,132,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,PLAYERSTATISTICS,,SALMAN BUTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SEGMENT_71,1221976,2069000,2112000,,71,1327628,FIELD SETUP,,DAY 3,Billy Doctrove,Simon Taufel,Salman Butt,Mohammad Yousuf,,,Sourav Ganguly,,,41.2,132,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,TEAMSTATISTICS,,BOWLING SPEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SEGMENT_72,1221976,2113000,2134000,,72,1327628,,,DAY 3,Billy Doctrove,Simon Taufel,Salman Butt,Mohammad Yousuf,,,Sourav Ganguly,,,41.3,136,136,0,,,,,,Four,Square Drive,Length_Ball,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ON_THE_CREASE,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,0,,,,CONSULTATION,Crowd:Excitement,,Crowd:Excitement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SEGMENT_73,1221976,2135000,2160000,,73,1327628,,,DAY 3,Billy Doctrove,Simon Taufel,Salman Butt,Mohammad Yousuf,,,Sourav Ganguly,,,41.3,136,136,0,,,,,,Four,Square Drive,Length_Ball,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ON_THE_CREASE,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,,,,,,,,,,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,ARUN LAL:BOUNDARY:True,,,,,,,,,,,,0,,,,CONSULTATION,Crowd:Excitement,,Crowd:Excitement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,,,,,,,,
