S_TC_IN,S_TC_IN,S_TC_OUT,S_TC_OUT,S_DURATION,S_DURATION,S_COMMENTATORSPICK,S_COMMENTATORSPICK,S_COMMENTATORSNAME,S_COMMENTATORSNAME,S_FIELDINGCOMMENTATORSPICK,S_FIELDINGCOMMENTATORSPICK,S_EMOTIONPLAYERNAME,S_EMOTIONPLAYERNAME,S_EMOTIONALASPECTS,S_EMOTIONALASPECTS,S_CELEBRITYFOCUS,S_CELEBRITYFOCUS,S_STYLESTATEMENT,S_STYLESTATEMENT,S_EXTRAS,S_EXTRAS,S_BRANDFOCUS,S_BRANDFOCUS,S_USUSALCRICKETGEAR,S_USUSALCRICKETGEAR,S_PLAYERINTERVIEW,S_PLAYERINTERVIEW,S_MEMORABILIA,S_MEMORABILIA,S_PLAYERCELEBRATION,S_PLAYERCELEBRATION,S_DUETOINCORRECTUMPIRING,S_DUETOINCORRECTUMPIRING,S_LIGHTSFAIL,S_LIGHTSFAIL,S_BADWEATHER,S_BADWEATHER,S_CROWDUNREST,S_CROWDUNREST,S_SIGHTSCREENADJUSTMENT,S_SIGHTSCREENADJUSTMENT,S_STREAKERONFIELD,S_STREAKERONFIELD,S_BEES,S_BEES,S_DOG,S_DOG,S_BIRD_BIRDS,S_BIRD_BIRDS,S_BALLCHANGE,S_BALLCHANGE,S_DRINKSBREAK,S_DRINKSBREAK,S_ADHOCDRINKSBREAK,S_ADHOCDRINKSBREAK,S_INNINGSBREAK,S_INNINGSBREAK,S_ROLLINGTHEPITCH,S_ROLLINGTHEPITCH,S_BALLLOST,S_BALLLOST,S_CHANGEOFGEAR,S_CHANGEOFGEAR,S_REPLAYOVER,S_REPLAYOVER,S_TOTALTEAMWICKET,S_TOTALTEAMWICKET,S_TOSS,S_TOSS,S_TEAMAREPRESENTATIVE,S_TEAMAREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_TEAMBREPRESENTATIVE,S_INTERVIEW,S_INTERVIEW,S_PRACTICESESSIONS,S_PRACTICESESSIONS,S_PRESENTATION,S_PRESENTATION,S_PRIZEDISTRIBUTION,S_PRIZEDISTRIBUTION,S_VICTORYLAP,S_VICTORYLAP,S_ADDITIONALEVENTS,S_ADDITIONALEVENTS
self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
0,00:00:00.000,7000,00:00:07.000,None,7000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
461000,00:07:41.000,487000,00:08:07.000,None,26000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2739000,00:45:39.000,2749000,00:45:49.000,None,10000,,,,,,,None,,Crowd:Excitement,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2749000,00:45:49.000,2805000,00:46:45.000,None,56000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2807000,00:46:47.000,2832000,00:47:12.000,None,25000,,,,,,,None,,Crowd:Excitement,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2834000,00:47:14.000,2852000,00:47:32.000,None,18000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2853000,00:47:33.000,2876000,00:47:56.000,None,23000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2878000,00:47:58.000,2901000,00:48:21.000,None,23000,,,,,,,None,,None,,,,,,None,0,,,,,,,,,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
2902000,00:48:22.000,2928000,00:48:48.000,None,26000,,,,,,,None,,None,,,None,,None,None,0,,,,,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,No,None,,None,,None,No,None,No,None,No,None,No,None,No,None,
